<Igor_Dragunov> <wikicategory_Expatriate_footballers_in_Latvia> <isAffiliatedTo> <PFC_CSKA_Moscow> <wordnet_club_108227214> 1
<Igor_Ţîgîrlaş> <wikicategory_Expatriate_footballers_in_Latvia> <isAffiliatedTo> <FC_Zimbru_Chişinău> <wordnet_club_108227214> 1
<Zakhar_Dubensky> <wikicategory_Expatriate_footballers_in_Latvia> <isAffiliatedTo FC_Luch-Energiya_Vladivostok> <wordnet_club_108227214> 1
<Dmitri_Skoblyakov> <wikicategory_Expatriate_footballers_in_Latvia> <isAffiliatedTo> <FC_Shinnik_Yaroslavl> <wordnet_club_108227214> 1
<Yevgeny_Postnikov> <wikicategory_Expatriate_footballers_in_Latvia> <isAffiliatedTo> <FC_Shakhtsyor_Salihorsk> <wordnet_club_108227214> 1
<Evgeni_Kets> <wikicategory_Expatriate_footballers_in_Latvia> <isAffiliatedTo> <Verdal_IL> <wordnet_club_108227214> 0
<Andrei_Panfyorov> <wikicategory_Expatriate_footballers_in_Latvia> <isAffiliatedTo> <Saba_Qom_FSC> <wordnet_club_108227214> 0
<Dmitri_Reznyuk> <wikicategory_Expatriate_footballers_in_Latvia> <isAffiliatedTo> <Bahman_F.C. wordnet_club_108227214> 0
<Anton_Rastorguyev> <wikicategory_Expatriate_footballers_in_Latvia> <isAffiliatedTo> <Maccabi_Ironi_Bat_Yam_F.C.> <wordnet_club_108227214> 0
<Andriy_Kruhlyak> <wikicategory_Expatriate_footballers_in_Latvia> <isAffiliatedTo> <NK_Drava_Ptuj> <wordnet_club_108227214> 0
<Evgeni_Kets> <wikicategory_Expatriate_footballers_in_Latvia> <isAffiliatedTo> <JSM_Tiaret> <wordnet_club_108227214> 0
Andrei_Panfyorov> <wikicategory_Expatriate_footballers_in_Latvia> <isAffiliatedTo> <Al-Arabi_SC_(Kuwait)> <wordnet_club_108227214> 0
<Dmitri_Reznyuk> <wikicategory_Expatriate_footballers_in_Latvia> <isAffiliatedTo> <FC_Hirnyk-Sport_Komsomolsk> <wordnet_club_108227214> 0
Søren_Kierkegaard> <wordnet_philosopher_110423589> <influences> <Jean-Paul_Sartre> <wordnet_existentialist_110071557> 1
<Edmund_Husserl> <wordnet_philosopher_110423589> <influences> <Simone_de_Beauvoir> <wordnet_existentialist_110071557> 1
<Asclepiades_of_Phlius> <wordnet_philosopher_110423589> <influences> <Simone_de_Beauvoir> <wordnet_existentialist_110071557> 0
<Asclepiades_of_Phlius> <wordnet_philosopher_110423589> <influences> <Simone_de_Beauvoir> <wordnet_existentialist_110071557> 0
<Asclepiades_of_Phlius> <wordnet_philosopher_110423589> <influences> <Simone_de_Beauvoir> <wordnet_existentialist_110071557> 0
